
===== mudiban.xlsx =====
-- sheet=2019报价 rows=168
R  4 | 项目内容
R  8 | 客厅、餐厅及阳台
R  9 | 窗帘盒
R 10 | 石膏板平面天花
R 11 | 造型天花
R 12 | 天花虚光灯槽
R 13 | 50-60MM优质艺术石膏线
R 14 | 80MM优质艺术石膏线
R 15 | 艺术石膏线刷漆
R 16 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（300-800MM）
R 17 | 勾缝处理
R 18 | 造型基层
R 19 | 墙顶面基层加固
R 20 | 墙面基层处理（鸟巢腻子）
R 21 | 芬琳芬华五合一内墙乳胶漆
R 22 | 墙面漆护角
R 23 | 防潮处理
R 24 [FLOOR_MATCH=['地面保护']] | 地面保护
R 25 | 小计
R 26 | 厨房
R 27 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 28 | 墙面贴瓷片
R 29 | 墙面瓷砖刷背胶
R 30 | 墙面瓷片碰角加工
R 31 | 勾缝处理
R 32 | 地面防水处理
R 33 [FLOOR_MATCH=['地面保护']] | 地面保护
R 34 | 小计
R 35 | 公卫
R 36 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 37 | 墙面贴瓷片
R 38 | 墙面瓷砖刷背胶
R 39 | 墙面瓷片碰角加工
R 40 | 勾缝处理
R 41 | 地面防水处理
R 42 | 地面防水保护层
R 43 | 墙面防水层
R 44 [FLOOR_MATCH=['地面保护']] | 地面保护
R 45 | 小计
R 46 | 主卧
R 47 [FLOOR_MATCH=['地面找平']] | 地面找平
R 48 | 石膏板平面天花
R 49 | 墙顶面基层加固
R 50 | 墙面基层处理（鸟巢腻子）
R 51 | 芬琳芬华五合一内墙乳胶漆
R 52 | 小计
R 53 | 主卫
R 54 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 55 | 墙面贴瓷片
R 56 | 墙面瓷砖刷背胶
R 57 | 墙面瓷片碰角加工
R 58 | 勾缝处理
R 59 | 地面防水处理
R 60 | 地面防水保护层
R 61 | 墙面防水层
R 62 [FLOOR_MATCH=['地面保护']] | 地面保护
R 63 | 小计
R 64 | 次卧一
R 65 [FLOOR_MATCH=['地面找平']] | 地面找平
R 66 | 飘窗大理石铺贴
R 67 | 墙顶面基层加固
R 68 | 墙面基层处理（鸟巢腻子）
R 69 | 芬琳芬华五合一内墙乳胶漆
R 70 | 小计
R 71 | 次卧二
R 72 [FLOOR_MATCH=['地面找平']] | 地面找平
R 73 | 墙顶面基层加固
R 74 | 墙面基层处理（鸟巢腻子）
R 75 | 芬琳芬华五合一内墙乳胶漆
R 76 | 小计
R 77 | 综合
R 78 | 电安装（部份改动）
R 79 | 开关插座布线
R 80 | 电话线
R 81 | 电视线
R 82 | 光纤线
R 83 | 网线
R 84 | 音响线
R 85 | 液晶电视引线管
R 86 | 底盒、面板安装
R 87 | 专线(4MM2)
R 88 | 专线(6MM2)
R 89 | 专线(10MM2)
R 90 | 强电箱安装
R 91 | 弱电箱安装
R 92 | 灯具安装
R 93 | 布线开槽
R 94 | 小计
R 95 | 水安装（部份改动）
R 96 | 冷、热给水管（布管）
R 97 | 排水管安装
R 98 | 排污管安装
R 99 | 空调下水管安装
R100 | 总水阀安装
R101 | 小计
R102 | 其它
R103 | 门槛大理石铺贴
R104 | 沉箱架空处理
R105 | 沉箱回填
R106 | 包单排水管
R107 | 包双排水管
R108 | 室内高空作业费
R109 | 地漏安装
R110 | 墙面修补
R111 | 新建门洞(90CM内)
R112 | 现浇楼板
R113 | 中央空调风口加固
R114 | 墙体拆除
R115 | 阳台大理石挡水边
R116 | 淋浴基石安装
R117 | 烟道瓷片防脱落处理
R118 | 蹲厕安装
R119 | 地固漆
R120 | 砌墙（12分）
R121 | 砌墙（24分）
R122 | 墙面批档
R123 | 开荒保洁
R124 | 小计
R125 | 合计
R126 | 直接费
R127 | 以下项目不打折
R128 | 搬运费3.5%
R129 | 建渣清运3%
R130 | 管理费8%
R131 | 设计服务费5%
R132 | 总计
R133 | 税金=（总计*6%）
R134 | 补充报价
R135 | 抽屉及键盘
R136 | 小挂件安装
R137 | 洗手盆安装
R138 | 淋浴安装
R139 | 座厕安装
R140 | 蹲厕安装
R141 | 砌壁龛
R142 | 窗帘盒
R143 | 空调孔开孔
R144 | 开孔
R145 | 悬挂电视位红砖加固
R146 | 中央空调风口加固
R147 | 地暖后整体找平
R148 | 做地暖门洞升高
R149 | 淋浴基石安装
R150 | 顶面白灰铲除
R151 | 成品保护
R152 | 暗装预埋花洒
R153 | 暗装预埋水箱
R154 | 墙面防裂网
R155 | 阳台大理石挡水边
R156 | 烟道瓷片防脱落处理
R157 | 拆构造柱
R158 | 补充说明
R159 [FLOOR_MATCH=['地砖', '地板']] | 业主自购材料：大理石、地砖、瓷片、墙纸及墙布、艺术漆、木地板、灯具、洁具、橱柜及电器、铝扣吊顶、艺术玻璃、定制家具及护墙板、实木雕花、水龙头、门窗及门锁、五金件、开关插座面板、地漏、空调打洞、煤气总闸等
R160 [FLOOR_MATCH=['地砖']] | 贴砖补充说明：墙/地砖铺600*900或600*1200每平米另加16元，750*1500每平米加39元，800*1600每平米加49元，900*1800每平米加59元，菱形铺法每平米另加16元，仿木纹条形砖每平米另加20元，腰线12元/米，拼花铺法每平米另加28元，菱形拼花及小于或等于200*200的地∕墙砖铺贴每平米另加75元。
R161 | 如果您先做预算（指尚未出施工图纸），此报价仅供您参考或作为您与我公司签定合同的参考依据，我公司保留依施工图纸所用材料和加工件复杂系数 ，修订项目单价的权力（具体价格待施工图确定后再定）
R162 | 工程所在地方的房管局审批费用和物业管理处所交一切费用由业主支付；乙方协助提供甲方所需相关资料。施工中如有增减项目，以增减项目变更单为准结算工程款；工程结算时，按实际发生的工程量计算；
R163 | 主要材料品牌：兔宝宝欧松板（优等品）；立邦漆永得丽木制油漆；乳胶漆芬琳芬华全能内墙底漆、芬琳芬华五合一内墙乳胶漆；塔牌（低烟无卤阻燃）电线；安普恒讯宽频线（7类双屏蔽）及电话线；安普音响线；广东帝豪装饰专用伟星（福管）PPR抗菌水管；广东帝豪装饰专用伟星PVC-U斯派诺线管；伟星牌PVC-U（青韵）下水管；德高防水；广东帝豪装饰专用西牛牌防潮宝；德高地固漆；龙马牌白乳胶或兔宝宝白乳胶；兔宝宝净醛石膏板；匡山或海螺水泥、人工沙。如上述材料供应紧张，乙方可使用不低于上述档次的品牌材料
R164 | 超过二层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加合计费的2%；五层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加3% .（注：含有电梯但不准运输）以此类推。
R165 | 业主交纳工程款时，必须见到带有本公司财务公章的正规收据，否则本公司有权不予认可
R166 | 施工过程中，如果业主装修项目有违反建筑装饰施工条例的项目，本公司有权拒绝施工。(如甲方强制要求施工，本公司不予保修及承担任何责任）
R167 | 注：本报价中增加项目及水电项目未含以下项目不打折的费用，结算时应予以加上。
R168 | 业主：　　　　　审核：　　　　　　设计师：　　　　　　施工图：　　　　　效果图：　　　　　报价：

===== dizhuan.xlsx =====
-- sheet=2019报价 rows=176
R  4 | 项目内容
R  8 | 客厅、餐厅及阳台
R  9 | 窗帘盒
R 10 | 石膏板平面天花
R 11 | 造型天花
R 12 | 天花虚光灯槽
R 13 | 50-60MM优质艺术石膏线
R 14 | 80MM优质艺术石膏线
R 15 | 艺术石膏线刷漆
R 16 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（600*1200MM）
R 17 | 勾缝处理
R 18 | 造型基层
R 19 | 墙顶面基层加固
R 20 | 墙面基层处理（鸟巢腻子）
R 21 | 芬琳芬华五合一内墙乳胶漆
R 22 | 墙面漆护角
R 23 | 防潮处理
R 24 [FLOOR_MATCH=['地面保护']] | 地面保护
R 25 | 小计
R 26 | 厨房
R 27 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 28 | 墙面贴瓷片
R 29 | 墙面瓷砖刷背胶
R 30 | 墙面瓷片碰角加工
R 31 | 勾缝处理
R 32 | 地面防水处理
R 33 [FLOOR_MATCH=['地面保护']] | 地面保护
R 34 | 小计
R 35 | 公卫
R 36 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 37 | 墙面贴瓷片
R 38 | 墙面瓷砖刷背胶
R 39 | 墙面瓷片碰角加工
R 40 | 勾缝处理
R 41 | 地面防水处理
R 42 | 地面防水保护层
R 43 | 墙面防水层
R 44 [FLOOR_MATCH=['地面保护']] | 地面保护
R 45 | 小计
R 46 | 主卧
R 47 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 48 | 勾缝处理
R 49 | 石膏板平面天花
R 50 | 墙顶面基层加固
R 51 | 墙面基层处理（鸟巢腻子）
R 52 | 芬琳芬华五合一内墙乳胶漆
R 53 [FLOOR_MATCH=['地面保护']] | 地面保护
R 54 | 小计
R 55 | 主卫
R 56 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R 57 | 墙面贴瓷片
R 58 | 墙面瓷砖刷背胶
R 59 | 墙面瓷片碰角加工
R 60 | 勾缝处理
R 61 | 地面防水处理
R 62 | 地面防水保护层
R 63 | 墙面防水层
R 64 [FLOOR_MATCH=['地面保护']] | 地面保护
R 65 | 小计
R 66 | 次卧一
R 67 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
