
=== dizhuan.xlsx === (rows 8-60)
  [一     ] 客厅、餐厅及阳台                       |                      | 
  [1     ] 窗帘盒                            |                      | M
  [2     ] 石膏板平面天花                        |                      | M2
  [3     ] 造型天花                           |                      | M2
  [4     ] 天花虚光灯槽                         |                      | m
  [5     ] 50-60MM优质艺术石膏线                 |                      | M
  [6     ] 80MM优质艺术石膏线                    |                      | M
  [7     ] 艺术石膏线刷漆                        |                      | M
  [8     ] 客厅及餐厅正铺地砖（600*1200MM）          |                      | M2
  [9     ] 勾缝处理                           |                      | M2
  [10    ] 造型基层                           |                      | M2
  [11    ] 墙顶面基层加固                        |                      | M2
  [12    ] 墙面基层处理（鸟巢腻子）                   |                      | M2
  [13    ] 芬琳芬华五合一内墙乳胶漆                   |                      | M2
  [14    ] 墙面漆护角                          |                      | 项
  [15    ] 防潮处理                           |                      | M2
  [16    ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [二     ] 厨房                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2
  [6     ] 地面防水处理                         |                      | M2
  [7     ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [三     ] 公卫                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2
  [6     ] 地面防水处理                         |                      | M2
  [7     ] 地面防水保护层                        |                      | M2
  [8     ] 墙面防水层                          |                      | M2
  [9     ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [四     ] 主卧                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 勾缝处理                           |                      | M2
  [3     ] 石膏板平面天花                        |                      | M2
  [4     ] 墙顶面基层加固                        |                      | M2
  [5     ] 墙面基层处理（鸟巢腻子）                   |                      | M2
  [6     ] 芬琳芬华五合一内墙乳胶漆                   |                      | M2
  [7     ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [五     ] 主卫                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2

=== mudiban.xlsx === (rows 8-60)
  [一     ] 客厅、餐厅及阳台                       |                      | 
  [1     ] 窗帘盒                            |                      | M
  [2     ] 石膏板平面天花                        |                      | M2
  [3     ] 造型天花                           |                      | M2
  [4     ] 天花虚光灯槽                         |                      | m
  [5     ] 50-60MM优质艺术石膏线                 |                      | M
  [6     ] 80MM优质艺术石膏线                    |                      | M
  [7     ] 艺术石膏线刷漆                        |                      | M
  [8     ] 客厅及餐厅正铺地砖（300-800MM）           |                      | M2
  [9     ] 勾缝处理                           |                      | M2
  [10    ] 造型基层                           |                      | M2
  [11    ] 墙顶面基层加固                        |                      | M2
  [12    ] 墙面基层处理（鸟巢腻子）                   |                      | M2
  [13    ] 芬琳芬华五合一内墙乳胶漆                   |                      | M2
  [14    ] 墙面漆护角                          |                      | 项
  [15    ] 防潮处理                           |                      | M2
  [16    ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [二     ] 厨房                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2
  [6     ] 地面防水处理                         |                      | M2
  [7     ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [三     ] 公卫                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2
  [6     ] 地面防水处理                         |                      | M2
  [7     ] 地面防水保护层                        |                      | M2
  [8     ] 墙面防水层                          |                      | M2
  [9     ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [四     ] 主卧                             |                      | 
  [1     ] 地面找平                           |                      | M2
  [2     ] 石膏板平面天花                        |                      | M2
  [3     ] 墙顶面基层加固                        |                      | M2
  [4     ] 墙面基层处理（鸟巢腻子）                   |                      | M2
  [5     ] 芬琳芬华五合一内墙乳胶漆                   |                      | M2
  [      ] 小计                             |                      | 
  [五     ] 主卫                             |                      | 
  [1     ] 铺地砖（正贴）                        |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2
  [6     ] 地面防水处理                         |                      | M2
  [7     ] 地面防水保护层                        |                      | M2

=== fushi.xlsx === (rows 8-60)
  [一     ] 台球厅及楼梯                         |                      | 
  [1     ] 窗帘盒                            |                      | M
  [2     ] 石膏板平面天花                        |                      | M2
  [3     ] 造型天花                           |                      | M2
  [4     ] 天花虚光灯槽                         |                      | m
  [5     ] 客厅及餐厅正铺地砖（300-800MM）           |                      | M2
  [6     ] 勾缝处理                           |                      | M2
  [7     ] 造型基层                           |                      | M2
  [8     ] 墙顶面基层加固                        |                      | M2
  [9     ] 墙面基层处理（鸟巢腻子）                   |                      | M2
  [10    ] 芬琳芬华五合一内墙乳胶漆                   |                      | M2
  [11    ] 墙面漆护角                          |                      | 项
  [12    ] 防潮处理                           |                      | M2
  [13    ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [二     ] 公卫                             |                      | 
  [1     ] 铺地砖（正贴（800MM））                 |                      | M2
  [2     ] 墙面贴瓷片                          |                      | M2
  [3     ] 墙面瓷砖刷背胶                        |                      | M2
  [4     ] 墙面瓷片碰角加工                       |                      | M
  [5     ] 勾缝处理                           |                      | M2
  [6     ] 地面防水处理                         |                      | M2
  [7     ] 地面防水保护层                        |                      | M2
  [8     ] 墙面防水层                          |                      | M2
  [9     ] 地面保护                           |                      | M2
  [      ] 小计                             |                      | 
  [三     ] 棋牌室                            |                      | 
  [1     ] 铺地砖（正贴（800MM））                 |                      | M2
  [2     ] 窗帘盒                            |                      | M
  [3     ] 勾缝处理                           |                      | M2
  [4     ] 石膏板平面天花                        |                      | M2
