
========== sheet=2019报价 rows=328 ==========
R   1  广东帝豪装饰集团巴中分公司（工程预算单） |  |  |  |  |  |  |  |  |  | 
R   2  工程名称：雅居 |  |  |  |  |  |  |  | 44593 |  | 
R   3  公司地址:巴中市黄家沟居然之家四楼2-4-009号                                        电话:0827-3888300 |  |  |  |  |  |  |  |  |  | 
R   4  序号 | 项目内容 | 数量 | 单位 | 材料 |  | 人工 |  | 施工工艺及材料说明 |  | 
R   6   |  |  |  | 单价 | 合价 | 单价 | 合价 |  |  | 
R   8  一 | 客厅、餐厅、书房及阳台 |  |  |  |  |  |  |  |  | 
R   9  1 | 包入口半边门套 |  | M | 65 |  | 55 |  | 1、15MM细欧松板框架结构，5MM夹板衬底，外贴3MM饰面板，实木线条及门套线收口。2、包人工工资及机具费。 |  | 
R  10  2 | 门套及门廊 |  | M | 85 |  | 60 |  | 1、15MM细欧松板框架，5MM夹板衬底，外贴3MM饰面板，15MM*5MM扁线收口，60MM*8MM门套线修饰（特殊门套线另计）。2、人工及机具费 |  | 
R  11  3 | 门套基层打底 |  | M | 50 |  | 38 |  | 1、5MM夹板衬底。2、包人工工资及机具费。（门套及安装业主自购） |  | 
R  12  4 | 不锈钢门套 |  | M | 95 |  | 75 |  | 木龙骨框架结构，膨胀螺丝固定，外贴2MM不锈钢饰面，人工及机具费 |  | 
R  13  5 | 鞋柜柜体 |  | M2 | 400 |  | 200 |  | 1、18mm实木板做主体结构，9mm实木板做背板，专用收边条收边。人工工资及机具费(五金自购) |  | 
R  14  6 | 鞋柜柜门 |  | M2 | 205 |  | 90 |  | 1.15mm细木工板，9mm夹板做背板，外贴3mm饰面板，同质木线收边。（油漆另计） |  | 
R  15  7 | 凹凸线条造型 |  | M2 | 100 |  | 85 |  | 柜门造型、木质线条帖饰、辅料及人工 |  | 
R  16  8 | 柜内PU线条条收边 |  | m | 10 |  | 7 |  | 专业订做PU线条凹条收边。 | 400 | 130
R  17  9 | 弧形角柜 |  | 项 | 280 |  | 180 |  | 15MM细木工板结构，5MM夹板衬底，内贴3MM饰面，弧形实木线条收口。２、人工及机具费. |  | 
R  18  10 | 顶面饰面装饰边框 |  | M | 40 |  | 36 |  | 20MM*60MM的边框、欧松板框架结构，夹板衬底，外贴3MM饰面板斜拼工艺、人工及机具费 |  | 
R  19  11 | 天花烙黑缝 |  | M | 10 |  | 28 |  | 有色漆，人工及机具费。 |  | 
R  20  12 | 叠级造型天花 |  | M2 | 145 |  | 80 |  | 木龙骨或轻钢龙骨框架，纸面石膏板封面、留缝、乳胶漆另计。(以展开面积计算) |  | 
R  21  13 | 顶面黑钛钢装饰条 |  | M | 26 |  | 22 |  | 欧松板打底、3公分黑钛钢条安装及固定 |  | 
R  22  14 | 留缝天花 |  | M2 | 135 |  | 75 |  | 木龙骨或轻钢龙骨框架，纸面石膏板封面、留缝 |  | 
